epoch,epsilon,time,reward
361,0.36450000000000005,1701683089.260097,-52.28790927482106
362,0.36450000000000005,1701683089.9205148,-50.35535597572361
363,0.36450000000000005,1701683090.6089525,-50.04919273264858
364,0.36450000000000005,1701683091.3302164,-50.24797580143168
365,0.36450000000000005,1701683092.1409397,-50.392838468720825
366,0.36450000000000005,1701683092.8759365,-53.188013927793335
367,0.36450000000000005,1701683093.6172814,-51.15683823529411
368,0.36450000000000005,1701683094.3584433,-50.04985683162151
369,0.36450000000000005,1701683095.0506542,-50.71934018051665
370,0.36450000000000005,1701683095.7338972,-50.078073840647335
371,0.36450000000000005,1701683096.426632,-51.50714752567695
372,0.36450000000000005,1701683097.1082358,-50.498259803921584
373,0.36450000000000005,1701683097.8184667,-53.06000505757857
374,0.36450000000000005,1701683098.5022037,-51.34583216619979
375,0.36450000000000005,1701683099.36313,-51.9285508092126
376,0.36450000000000005,1701683100.042847,-55.18080648926228
377,0.36450000000000005,1701683100.7285845,-57.3316802832244
378,0.36450000000000005,1701683101.4280205,-53.02099556489264
379,0.36450000000000005,1701683102.1459603,-50.63708255524429
380,0.36450000000000005,1701683102.7964087,-50.85769413320884
381,0.36450000000000005,1701683103.4660473,-49.70098039215689
382,0.36450000000000005,1701683104.2699077,-51.44649354186118
383,0.36450000000000005,1701683104.9985394,-54.18325241207594
384,0.36450000000000005,1701683105.6896563,-49.6410994397759
385,0.36450000000000005,1701683106.3622973,-49.500378151260456
386,0.36450000000000005,1701683107.0164733,-54.525799486461295
387,0.36450000000000005,1701683107.692935,-50.92042561469027
388,0.36450000000000005,1701683108.482947,-49.21443510737624
389,0.36450000000000005,1701683109.1998522,-49.11165266106449
390,0.36450000000000005,1701683109.883014,-49.52645774976652
391,0.36450000000000005,1701683110.552002,-51.36984010270778
392,0.36450000000000005,1701683111.2320778,-51.18374455337691
393,0.36450000000000005,1701683112.008142,-50.062535792094565
394,0.36450000000000005,1701683113.0679514,-49.79380524431998
395,0.36450000000000005,1701683113.8936994,-50.86138616557737
396,0.36450000000000005,1701683114.6013896,-51.288155929038325
397,0.36450000000000005,1701683115.280862,-50.86599361967011
398,0.36450000000000005,1701683116.0108645,-48.894810924369715
399,0.32805000000000006,1701683116.726776,-54.5660352474323
400,0.32805000000000006,1701683117.3936238,-49.98092981637097
401,0.32805000000000006,1701683118.0592191,-52.11161297852475
402,0.32805000000000006,1701683118.7385943,-52.892172035480876
403,0.32805000000000006,1701683119.4972286,-52.17639161220041
404,0.32805000000000006,1701683120.2214038,-54.872936896980995
405,0.32805000000000006,1701683120.9105647,-55.92321272953625
406,0.32805000000000006,1701683121.605827,-53.220594849050734
407,0.32805000000000006,1701683122.3086987,-51.13725957049485
408,0.32805000000000006,1701683122.9891157,-52.1951669000934
409,0.32805000000000006,1701683123.6468036,-51.55262682850913
410,0.32805000000000006,1701683124.4074085,-50.47873755057574
411,0.32805000000000006,1701683125.1633468,-52.41595354808588
412,0.32805000000000006,1701683125.8613198,-50.334843604108265
413,0.32805000000000006,1701683126.5524042,-58.18054077186429
414,0.32805000000000006,1701683127.2645855,-56.13054855275443
415,0.32805000000000006,1701683127.9282925,-49.684903906006845
416,0.32805000000000006,1701683128.659492,-52.49022408963589
417,0.32805000000000006,1701683129.3938665,-52.87938141923438
418,0.32805000000000006,1701683130.0691805,-49.937061157796464
419,0.32805000000000006,1701683130.7386322,-60.338292483660105
420,0.32805000000000006,1701683131.4045773,-51.38118969810148
421,0.32805000000000006,1701683132.2771857,-50.881729302832234
422,0.32805000000000006,1701683132.9629622,-51.97766767818239
423,0.32805000000000006,1701683133.637018,-51.97103446934332
424,0.32805000000000006,1701683134.461372,-52.0294533924681
425,0.32805000000000006,1701683135.1629968,-53.36214480236536
426,0.32805000000000006,1701683135.8586652,-51.52641690009337
427,0.32805000000000006,1701683136.5549266,-52.95592981637093
428,0.32805000000000006,1701683137.2557216,-52.37119203236855
429,0.32805000000000006,1701683137.99266,-49.85013655462184
430,0.32805000000000006,1701683138.6959884,-50.96876244942417
431,0.32805000000000006,1701683139.8467917,-51.32129707438534
432,0.32805000000000006,1701683141.0467074,-53.42759570494866
433,0.32805000000000006,1701683141.84135,-51.38088507625274
434,0.32805000000000006,1701683142.8878074,-52.71761087768446
435,0.32805000000000006,1701683143.6342132,-52.88250389044513
436,0.32805000000000006,1701683144.376855,-51.746870136943706
437,0.32805000000000006,1701683145.056096,-51.45600957049488
438,0.32805000000000006,1701683145.7511158,-50.34341230936814
439,0.32805000000000006,1701683146.4475808,-52.348744164332444
440,0.32805000000000006,1701683147.1323807,-51.85677987861816
441,0.32805000000000006,1701683147.833281,-50.38624610955497
442,0.32805000000000006,1701683148.5967171,-52.005235371926545
443,0.32805000000000006,1701683149.390771,-49.73254824151881
444,0.32805000000000006,1701683150.1492853,-50.998796685340814
445,0.32805000000000006,1701683150.8335059,-52.016231714908244
446,0.32805000000000006,1701683151.4993448,-56.54558317771554
447,0.32805000000000006,1701683152.1759627,-49.87908185496423
448,0.32805000000000006,1701683152.850716,-53.18981170245872
449,0.32805000000000006,1701683153.539553,-56.77463118580763
450,0.32805000000000006,1701683154.2702827,-51.80878462496107
451,0.32805000000000006,1701683155.1930757,-55.34367491441024
